timestamp,message_index,ranges_size,intensities_size,angle_min,angle_max,angle_increment,declared_span_rad,indexed_span_rad,declared_span_deg,indexed_span_deg,scan_time,time_increment,range_min,range_max,finite_count,finite_ratio,frame_id,timestamp_monotonic,input_rate_hz,publisher_count,classification
1785679183.069059372,47,1073,1073,-3.124139309,3.141592741,0.005844899,6.265732050,6.265731715,359.000002022,358.999982812,0.144170761,0.000134488,0.150000006,12.000000000,802,0.747437092,"laser_frame",true,8.107709259,1,FULL_REVOLUTION
1785679183.204040766,48,1068,1068,-3.124139309,3.141592741,0.005872288,6.265732050,6.265731566,359.000002022,358.999974301,0.134002775,0.000125588,0.150000006,12.000000000,802,0.750936330,"laser_frame",true,7.581678417,1,FULL_REVOLUTION
1785679183.339192629,49,1065,1065,-3.124139309,3.141592741,0.005888846,6.265732050,6.265731901,359.000002022,358.999993484,0.134136498,0.000126068,0.150000006,12.000000000,799,0.750234742,"laser_frame",true,8.380226513,1,FULL_REVOLUTION
1785679183.474327087,50,1063,1063,-3.124139309,3.141592741,0.005899936,6.265732050,6.265731990,359.000002022,358.999998606,0.134046718,0.000126221,0.150000006,12.000000000,790,0.743179680,"laser_frame",true,8.185068099,1,FULL_REVOLUTION
1785679183.609334707,51,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.133746311,0.000126295,0.150000006,12.000000000,787,0.742452830,"laser_frame",true,8.029619093,1,FULL_REVOLUTION
1785679183.744574308,52,1059,1059,-3.124139309,3.141592741,0.005922242,6.265732050,6.265731615,359.000002022,358.999977102,0.133848965,0.000126511,0.150000006,12.000000000,795,0.750708215,"laser_frame",true,7.899663032,1,FULL_REVOLUTION
1785679183.879614115,53,1058,1058,-3.124139309,3.141592741,0.005927844,6.265732050,6.265731572,359.000002022,358.999974621,0.133375466,0.000126183,0.150000006,12.000000000,797,0.753308129,"laser_frame",true,7.803482719,1,FULL_REVOLUTION
1785679184.014974833,54,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.134248152,0.000126769,0.150000006,12.000000000,797,0.751886792,"laser_frame",true,7.719815093,1,FULL_REVOLUTION
1785679184.150035620,55,1058,1058,-3.124139309,3.141592741,0.005927844,6.265732050,6.265731572,359.000002022,358.999974621,0.133883655,0.000126664,0.150000006,12.000000000,794,0.750472590,"laser_frame",true,7.657111268,1,FULL_REVOLUTION
1785679184.284970999,56,1056,1056,-3.124139309,3.141592741,0.005939082,6.265732050,6.265731766,359.000002022,358.999985746,0.133875623,0.000126896,0.150000006,12.000000000,792,0.750000000,"laser_frame",true,7.607984034,1,FULL_REVOLUTION
1785679184.420022726,57,1058,1058,-3.124139309,3.141592741,0.005927844,6.265732050,6.265731572,359.000002022,358.999974621,0.134005725,0.000126779,0.150000006,12.000000000,801,0.757088847,"laser_frame",true,7.566963912,1,FULL_REVOLUTION
1785679184.555201054,58,1058,1058,-3.124139309,3.141592741,0.005927844,6.265732050,6.265731572,359.000002022,358.999974621,0.133580670,0.000126377,0.150000006,12.000000000,799,0.755198488,"laser_frame",true,7.532529257,1,FULL_REVOLUTION
1785679184.690238237,59,1058,1058,-3.124139309,3.141592741,0.005927844,6.265732050,6.265731572,359.000002022,358.999974621,0.133929923,0.000126708,0.150000006,12.000000000,797,0.753308129,"laser_frame",true,7.507565849,1,FULL_REVOLUTION
1785679184.825396776,60,1058,1058,-3.124139309,3.141592741,0.005927844,6.265732050,6.265731572,359.000002022,358.999974621,0.134036258,0.000126808,0.150000006,12.000000000,796,0.752362949,"laser_frame",true,7.482195543,1,FULL_REVOLUTION
1785679184.961437702,61,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.135049626,0.000127526,0.150000006,12.000000000,798,0.752830189,"laser_frame",true,7.454197797,1,FULL_REVOLUTION
1785679185.095630646,62,1060,1060,-3.124139309,3.141592741,0.005916649,6.265732050,6.265731795,359.000002022,358.999987401,0.132031053,0.000124675,0.150000006,12.000000000,791,0.746226415,"laser_frame",true,7.459129778,1,FULL_REVOLUTION
